,A̱o,Trimestre,acc_cien_hogares,acc_cien_hab,vmd
0,2024,1,78.89,24.79,139.15
1,2023,4,78.56,24.66,139.04
2,2023,3,77.84,24.41,129.67
3,2023,2,77.02,24.14,123.95
4,2023,1,77.2,24.17,110.5
5,2022,4,77.21,24.15,106.56
6,2022,3,76.64,23.95,62.46
7,2022,2,75.96542437191371,23.7204423164287,58.44
8,2022,1,73.87880284452622,23.049171038697732,55.11
9,2021,4,73.17639652814779,22.810702052174992,52.34
10,2021,3,70.57885341443017,21.982550082706407,48.46
11,2021,2,69.24018269199719,21.54793892759205,45.63
12,2021,1,67.94587638885211,21.127831812160064,43.11
13,2020,4,67.62233866155619,21.010191748284452,42.36
14,2020,3,66.31,20.59,40.67
15,2020,2,64.21000287666993,19.918402765295003,38.32
16,2020,1,62.85636111359369,19.483264768615577,37.52
17,2019,4,62.91991182091471,19.48790008712971,28.26
18,2019,3,65.7879845391111,20.360660718556826,24.18
19,2019,2,64.53,19.96,20.33
20,2019,1,62.47916610977176,19.307906741229864,17.38
21,2018,4,61.41580723435766,18.97,15.95
22,2018,3,60.69,18.73,15.36
23,2018,2,59.1620687879326,18.24,13.8495399422441
24,2018,1,58.82,18.12,13.221339833489
25,2017,4,57.782350963183326,17.7929770681446,12.0076260812107
26,2017,3,56.89922141223151,17.5090322340829,8.33904815764714
27,2017,2,54.901190659837084,16.8829367167329,7.15995552367739
28,2017,1,54.16211582414749,16.6445653587914,6.62407908134137
29,2016,4,53.93601866428618,16.564000030973244,6.33738413446842
30,2016,3,53.73418622887769,16.504675674002662,5.9387765869846
31,2016,2,53.342201152611636,16.371351499331684,5.42353097512933
32,2016,1,51.84545169695796,15.901801868833909,5.08370177629755
33,2015,4,52.63088750448939,16.122696946278083,4.99044890054109
34,2015,3,52.45910622153948,16.050289147694723,4.78891116867562
35,2015,2,51.760266081540586,15.8172335655737,4.54538147818226
36,2015,1,51.36458636223469,15.677234003379093,4.35027886167618
37,2014,4,50.49978847426527,15.394676968457423,4.15688796190556
38,2014,3,50.67236813472314,15.428768804428332,3.86726501227843
39,2014,2,49.861428437657636,15.163908007906054,3.75871218894443
40,2014,1,49.545821345016996,15.050103872893196,3.6171267670209
